Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belize,BLZ,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,29.54545455,26.7281106,21.15027829,25.42857143,20.05928854,22.17642209,17.6541717,12.75167785,13.06765524,10.82251082,9.488035487,5.29208918,4.952990598,5.193654884,5.630908344,6.415865474,7.862234935,8.422565555,10.81191592,11.39693885,12.24941261,10.43812999,8.353027488,8.15829419,7.068879912,5.318539049,6.108168876,7.096047813,6.022679297,5.475436687,5.298243948,5.344779845,5.521445451,5.462510362,4.342409388,4.523375102,7.497347033,5.279345728,4.151776438
Bermuda,BMU,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.689190096,4.416012518,4.681921889,4.187441928,2.722185686,2.904207021,3.339048243,3.221427882,2.58515656,2.953205736,2.827275305,2.677405103,2.80290766,3.755209956,4.124981883,4.182619623,
Bolivia,BOL,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,15.26717557,23.16602317,22.28358209,31.83054393,37.06918239,37,34.52220727,36.57894737,40.64327485,42.51428571,42.44505495,33.77703827,34.67465753,35.51036071,35.82202112,35.78212291,35.69620253,34.43772672,36.12210288,44.75917431,45.39449982,22.95230689,25.67523593,18.51211073,16.3147976,21.55512033,17.88798894,22.53104673,23.53301896,22.531566,16.74258515,9.843792704,8.743962388,9.322625201,9.841837998,23.77597084,14.41224334,21.02794229,25.20841763,24.86595921,24.47024514,29.24553509,31.07262135,31.9413716,33.93945134,39.71937943,33.06049877
Brazil,BRA,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,48.56850716,50.77399381,46.83982684,43.36419753,50.54466231,48.62440191,49.83952315,57.44680851,67.11165049,69.60257787,75.31359759,65.46803653,69.44297082,59.96360328,43.94136808,36.37344846,44.58384333,48.07596202,41.81771764,45.67157982,43.29725229,31.3295305,24.3515365,18.35417285,16.61815906,13.5933687,14.71211538,14.85873257,16.46652195,18.24749456,19.20012028,17.25573258,15.69684412,17.12243149,13.29520205,13.12644255,12.73853745,11.36423591,11.54584083,11.97361785,12.0927584,12.46814454,14.07810151,13.46005402,13.23748474,14.85897921,16.99895483,16.69971975
Barbados,BRB,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,11.55418221,8.908332886,6.809003825,5.106250829,5.992976395,4.77149539,4.180668552,5.503451348,8.802398658,7.668146563,6.429380701,8.112372086,7.924990616,7.62992834,5.827840186,6.693857858,5.863642107,5.682421867,4.841742988,4.230606486,1.34180979,1.517362273,1.161238236,1.273143831,1.686455075,1.953121896,1.786286366,2.203412101,2.463190864,2.179528611,2.691918568,2.612549821,2.722768988,2.63772393,2.611679888,2.458134417,2.47320952,2.704801597,2.098427831,2.273334611,2.593316132,1.695320265,2.813042198,1.902713309,3.743589655,4.037256693,4.077822705,4.126252819,4.291522286,4.696144888,3.391978462,,,,,
Brunei Darussalam,BRN,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.49308925,60.17396253,56.55248641,52.42814444,50.8143295,51.16087229,49.94952175,49.43547215,49.37547322,,,,,77.62942363,74.05840769,67.81104422,65.16945211,55.01796615,46.38985396,43.63019018,54.59708672,
Bhutan,BTN,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.78883019,35.91443363,20.13988976,16.30175359,35.34054559,37.24855285,33.37345707,27.52565,29.22163153,21.26113564,32.55467606,30.08215472,39.86155834,22.99182836,28.65597875,12.33248442,19.86820183
Botswana,BWA,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,65.13157895,66.08280255,64.83383686,59.73856209,53.91437309,56.8173913,51.00519931,48.29733164,45.53629469,37.5270936,41.54929577,32.54050074,32.67418713,33.13868613,29.07272727,20.44052863,20.03192338,25.1266179,21.18261696,20.43515358,16.20384498,27.62396643,20.1600286,17.97795002,17.84167554,16.96985239,15.38186228,12.57525434,11.03746915,11.18017091,10.35829444,10.60351564,9.876083804,3.366333937,2.040839188,5.927612577,4.139528055,6.031424894,10.3673659,5.397772214,5.389179016,4.157696335,5.903268276,6.495287781,6.644853966,9.94960765,7.009795293,
Central African Republic,CAF,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,74.76246106,69.74082449,44.46998124,44.07207207,61.37762238,59.46080554,70.21465581,64.13886384,61.71722954,41.19753498,34.37745098,32.45910678,39.82015893,50.86064707,33.51927633,36.19047619,34.07299876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,21.51747006,33.30548141,32.15809019,32.9016047,33.33130986,33.10885792,33.25283831,27.80658528,31.82106573,27.55557037,29.28027094,28.96738285,28.5562629,29.880615,33.34737472,30.40150411,31.03605669,31.77825625,32.57041735,35.24053303,35.6996124,30.98176002,28.8276668,27.63102842,25.83698271,24.25447152,22.25744237,23.12779065,22.29902267,23.63897091,23.62393384,22.4224918,22.43711929,22.0610168,22.28769884,21.59060877,21.01353337,20.46389697,19.07849826,18.82926538,19.20185183,18.03569065,17.65136608,16.12577817,17.85704215,18.04933019,17.66250478,17.2102495,16.89898225,15.16392628,16.44958469,16.41553425,15.51177356,15.21114658,15.03167277,14.52240171,14.30311687,14.37310487,13.40679198,12.29534381,10.36395832,10.75785459,11.90250308
